Player Name,Team,ERA,G,W,L,SV,HLD,WPCT,IP,H,HR,BB,HBP,SO,R,ER,WHIP
Naile,KIA,2.53,26,12,5,0,0,0.706,149 1/3,154,11,35,9,138,69,42,1.27
Hart,NC,2.69,26,13,3,0,0,0.813,157,124,11,38,11,182,51,47,1.23
Barnes,LOTTE,3.35,25,9,6,0,0,0.6,150 2/3,140,18,46,5,171,59,56,1.14
Jurado,KIWOOM,3.36,30,10,8,0,0,0.556,190 1/3,185,19,32,9,169,78,71,1.09
Connor,SAMSUNG,3.43,28,11,6,0,0,0.647,160,135,21,40,19,158,67,61,1.2
Won Tae-In,SAMSUNG,3.66,28,15,6,0,0,0.714,159 2/3,150,17,42,7,119,68,65,1.25
Jesus,KIWOOM,3.68,30,13,11,0,0,0.542,171 1/3,171,22,44,14,178,78,70,1.46
Son Joo-Young,LG,3.79,28,9,10,0,1,0.474,144 2/3,157,11,54,10,112,71,61,1.31
Reyes,SAMSUNG,3.81,26,11,4,0,0,0.733,144,159,15,30,7,114,65,61,1.21
Wilkerson,LOTTE,3.84,32,12,8,0,0,0.6,196 2/3,210,18,27,2,167,90,84,1.36
Ryu Hyun-jin,HANWHA,3.87,28,10,8,0,0,0.556,158 1/3,182,12,33,3,135,78,68,1.25
Yang Hyeon-Jong,KIA,4.1,29,11,5,0,0,0.688,171 1/3,174,21,41,6,129,86,78,1.31
Cuevas,KT,4.1,31,7,12,0,0,0.368,173 1/3,158,17,59,7,154,86,79,1.25
Enns,LG,4.19,30,13,6,0,0,0.684,167 2/3,169,16,50,6,157,84,78,1.25
Gwak Been,DOOSAN,4.24,30,15,9,0,0,0.625,167 2/3,142,11,76,6,154,83,79,1.3
Ha Yeong-Min,KIWOOM,4.37,28,9,8,0,0,0.529,150 1/3,168,8,58,5,101,82,73,1.5
Benjamin,KT,4.63,28,11,8,0,0,0.579,149 2/3,141,28,48,4,156,90,77,1.26
Park Se-woong,LOTTE,4.78,30,6,11,0,0,0.353,173 1/3,188,13,56,11,124,103,92,1.41
Eom Sang-Baek,KT,4.88,29,13,10,0,0,0.565,156 2/3,164,26,42,7,159,88,85,1.31
Kim Kwang Hyun,SSG,4.93,31,12,10,0,0,0.545,162 1/3,162,24,73,6,154,95,89,1.45
